"id"	"label"	"description"	"x"	"y"	"cluster"	"weight<EU pub.>"	"weight<Total  link strength>"	"weight<Mur pub.>"	"weight<Spain pub.>"	"weight<Links>"
28	28	"<table><tr><td>Micro-level field:</td><td>28</td></tr><tr><td>Main fields:</td><td>Life and earth sciences</td></tr><tr><td>Sources:</td><td>frontiers in plant science; plant physiology and biochemistry; acta physiologiae plantarum; international journal of molecular sciences; journal of experimental botany</td></tr><tr><td>Terms:</td><td>salinity tolerance; osmotic adjustment; saline condition; saline water; salinity</td></tr></table>"	"-0.3461"	"-0.3151"	4	7105	1316553	369	1584	2968
1547	1547	"<table><tr><td>Micro-level field:</td><td>1547</td></tr><tr><td>Main fields:</td><td>Life and earth sciences</td></tr><tr><td>Sources:</td><td>acta horticulturae; journal of food protection; postharvest biology and technology; food control; journal of food science</td></tr><tr><td>Terms:</td><td>acidic electrolyzed water; respiration rate; enzymatic browning; ozone; ozone treatment</td></tr></table>"	"-0.4065"	"-0.3625"	4	1982	181690	248	588	2110
13	13	"<table><tr><td>Micro-level field:</td><td>13</td></tr><tr><td>Main fields:</td><td>Life and earth sciences</td></tr><tr><td>Sources:</td><td>soil biology & biochemistry; geoderma; soil & tillage research; applied soil ecology; soil science society of america journal</td></tr><tr><td>Terms:</td><td>earthworm; soil organic carbon; soil microbial community; soil enzyme activity; soil aggregation</td></tr></table>"	"-0.0409"	"-0.165"	4	13395	1178860	242	1858	3042
48	48	"<table><tr><td>Micro-level field:</td><td>48</td></tr><tr><td>Main fields:</td><td>Life and earth sciences; Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>food chemistry; journal of agricultural and food chemistry; molecules; acta horticulturae; food research international</td></tr><tr><td>Terms:</td><td>strawberry; cyanidin; anthocyanins; blueberry; apple</td></tr></table>"	"-0.589"	"-0.3942"	4	8538	1323355	241	2019	3052
671	671	"<table><tr><td>Micro-level field:</td><td>671</td></tr><tr><td>Main fields:</td><td>Life and earth sciences</td></tr><tr><td>Sources:</td><td>fish & shellfish immunology; aquaculture; journal of fish diseases; aquaculture research; developmental and comparative immunology</td></tr><tr><td>Terms:</td><td>aeromonas; flavobacterium psychrophilum; aeromonas hydrophila; aeromonas salmonicida; edwardsiella</td></tr></table>"	"-0.511"	"-0.2505"	4	3950	389281	224	1165	2398
2372	2372	"<table><tr><td>Micro-level field:</td><td>2372</td></tr><tr><td>Main fields:</td><td>Life and earth sciences</td></tr><tr><td>Sources:</td><td>journal of bryology; cryptogamie bryologie; bryologist; nova hedwigia; phytotaxa</td></tr><tr><td>Terms:</td><td>marchantiophyta; bryophyta; pottiaceae; lejeuneaceae; hepaticae</td></tr></table>"	"-0.2313"	"-0.1945"	4	2351	45777	217	522	1281
1159	1159	"<table><tr><td>Micro-level field:</td><td>1159</td></tr><tr><td>Main fields:</td><td>Life and earth sciences</td></tr><tr><td>Sources:</td><td>acta horticulturae; american journal of enology and viticulture; food chemistry; journal of agricultural and food chemistry; vitis</td></tr><tr><td>Terms:</td><td>grape seed; rootstock; grapevine; plasmopara viticola; vitaceae</td></tr></table>"	"-0.4122"	"-0.3489"	4	5144	246523	204	1628	2384
740	740	"<table><tr><td>Micro-level field:</td><td>740</td></tr><tr><td>Main fields:</td><td>Life and earth sciences</td></tr><tr><td>Sources:</td><td>agricultural water management; irrigation and drainage; acta horticulturae; water; irrigation science</td></tr><tr><td>Terms:</td><td>drip irrigation; regulated deficit irrigation; drip; plastic mulch; partial root zone</td></tr></table>"	"0.0732"	"-0.0365"	4	3707	280000	180	1160	2353
410	410	"<table><tr><td>Micro-level field:</td><td>410</td></tr><tr><td>Main fields:</td><td>Life and earth sciences</td></tr><tr><td>Sources:</td><td>aquaculture; aquaculture research; aquaculture nutrition; journal of the world aquaculture society; aquaculture international</td></tr><tr><td>Terms:</td><td>fatty acid composition; fish meal; soybean meal; replacement; product meal</td></tr></table>"	"-0.3979"	"-0.2143"	4	4778	329586	177	1441	2400
59	59	"<table><tr><td>Micro-level field:</td><td>59</td></tr><tr><td>Main fields:</td><td>Life and earth sciences</td></tr><tr><td>Sources:</td><td>hydrobiologia; freshwater biology; river research and applications; ecological indicators; science of the total environment</td></tr><tr><td>Terms:</td><td>plecoptera; macroinvertebrate community; headwater stream; environmental flow; fish assemblage</td></tr></table>"	"-0.1753"	"-0.1222"	4	9630	682768	154	1850	2491
